model,step,precision,recall,f1,c_k,s_c
RAG,loading_data,,,,1.0,1.0
RAG,loading_data,,,,1.0,1.0
RAG,loading_data,,,,1.0,1.0
RAG,preprocessing,,,,1.0,1.0
RAG,preprocessing,,,,0.0,0.8763
RAG,preprocessing,,,,0.0,0.8763
RAG,preprocessing,,,,0.0,0.8763
RAG,preprocessing,,,,,0.2072
RAG,preprocessing,,,,0.0,0.0496
RAG,preprocessing,,,,0.0,0.8763
RAG,preprocessing,,,,,-0.0023
RAG,loading_model,,,,0.0,0.0883
RAG,loading_model,,,,,0.0945
RAG,loading_model,,,,0.0,0.1361
RAG,loading_model,,,,,0.285
RAG,fit,,,,,0.3498
RAG,fit,,,,,0.356
RAG,fit,,,,,0.356
RAG,fit,,,,,0.356
RAG,fit,,,,,0.356
RAG,results,,,,,0.328
RAG,results,,,,,0.328
RAG,results,,,,,0.328
RAG,results,,,,0.0,0.0592
RAG,exploratory_analysis,,,,0.0,0.113
RAG,exploratory_analysis,,,,0.0,0.8865
RAG,inference,,,,,0.1327
RAG,inference,,,,,0.2014
