model,step,precision,recall,f1,c_k,s_c,time
RAG,loading_data,1.0,1.0,1.0,1.0,1.0,22.851951837539673
RAG,loading_data,1.0,1.0,1.0,1.0,1.0,10.489786863327026
RAG,loading_data,1.0,1.0,1.0,1.0,1.0,10.570290088653564
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.48606538772583
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.844158411026001
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.533079147338867
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,11.07506537437439
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.468581914901733
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.933880090713501
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.801015615463257
RAG,preprocessing,1.0,1.0,1.0,1.0,1.0,10.50634241104126
RAG,loading_model,1.0,1.0,1.0,1.0,1.0,10.587326526641846
RAG,loading_model,1.0,1.0,1.0,1.0,1.0,10.539283275604248
RAG,loading_model,1.0,1.0,1.0,1.0,1.0,10.508762121200562
RAG,loading_model,1.0,1.0,1.0,1.0,1.0,10.53401517868042
RAG,fit,1.0,1.0,1.0,1.0,1.0,11.119356632232666
RAG,fit,1.0,1.0,1.0,1.0,1.0,10.527813911437988
RAG,fit,1.0,1.0,1.0,1.0,1.0,10.595629453659058
RAG,fit,1.0,1.0,1.0,1.0,1.0,10.532899379730225
RAG,fit,0.0,0.0,0.0,0.0,0.1934,10.554370403289795
RAG,results,0.0,0.0,0.0,0.0,0.3798,11.062075853347778
RAG,results,1.0,1.0,1.0,1.0,1.0,11.06800365447998
RAG,results,1.0,1.0,1.0,1.0,1.0,10.443024158477783
RAG,results,1.0,1.0,1.0,1.0,1.0,10.66104531288147
RAG,exploratory_analysis,1.0,1.0,1.0,1.0,1.0,11.528830528259277
RAG,exploratory_analysis,1.0,1.0,1.0,1.0,1.0,11.00114631652832
RAG,inference,1.0,1.0,1.0,1.0,1.0,11.05850338935852
RAG,inference,1.0,1.0,1.0,1.0,1.0,11.19876503944397
